performance_metric_2,unit_serial_number,process_end_date
0.0462,Unit_1218,2022-04-22 6:46
0.05039999999999999,Unit_1,2022-04-22 11:27
0.08819999999999999,Unit_2,2022-02-21 22:46
0.0672,Unit_1034,2022-05-02 3:00
0.0672,Unit_5,2022-05-02 7:45
0.105,Unit_7,2022-02-21 11:50
0.0462,Unit_8,2022-04-21 6:08
0.0798,Unit_3,2022-04-21 2:28
0.0756,Unit_9,2022-04-21 4:04
0.1134,Unit_12,2022-04-29 6:18
0.063,Unit_13,2022-03-10 0:47
0.063,Unit_24,2022-03-10 1:43
0.0672,Unit_28,2022-03-10 3:36
0.058800000000000005,Unit_60,2022-03-12 11:47
0.0714,Unit_61,2022-03-12 14:40
0.058800000000000005,Unit_62,2022-03-12 19:01
0.0546,Unit_980,2022-04-29 5:10
0.0714,Unit_6,2022-05-02 18:02
0.042,Unit_15,2022-05-06 10:34
0.08819999999999999,Unit_19,2022-03-08 13:09
0.0924,Unit_1288,2022-04-21 5:13
0.063,Unit_65,2022-03-12 22:03
0.063,Unit_67,2022-03-13 1:34
0.0756,Unit_75,2022-03-13 7:13
0.0714,Unit_76,2022-03-13 13:44
0.0546,Unit_78,2022-03-13 15:37
0.084,Unit_80,2022-03-13 17:42
0.058800000000000005,Unit_82,2022-03-14 3:05
0.058800000000000005,Unit_83,2022-03-14 2:38
0.0546,Unit_84,2022-03-14 3:49
0.0756,Unit_86,2022-03-14 4:28
0.10079999999999999,Unit_88,2022-03-14 7:41
0.0672,Unit_90,2022-03-14 9:40
0.0756,Unit_783,2022-03-16 2:21
0.20579999999999998,Unit_95,2022-03-16 16:01
0.0966,Unit_96,2022-03-16 15:28
0.0798,Unit_784,2022-03-17 20:08
0.063,Unit_786,2022-03-18 17:45
0.10079999999999999,Unit_100,2022-03-19 2:15
0.0798,Unit_101,2022-03-19 6:11
0.05039999999999999,Unit_790,2022-03-19 10:36
0.0378,Unit_102,2022-03-19 19:22
0.0714,Unit_791,2022-03-19 21:28
0.063,Unit_103,2022-03-19 19:37
0.058800000000000005,Unit_104,2022-03-19 19:27
0.05039999999999999,Unit_766,2022-03-25 11:53
0.042,Unit_768,2022-04-27 3:09
0.0714,Unit_106,2022-03-25 12:17
0.0966,Unit_793,2022-03-20 6:28
0.0756,Unit_794,2022-03-20 7:34
0.05039999999999999,Unit_795,2022-03-20 13:49
0.0336,Unit_110,2022-03-21 3:45
0.0672,Unit_111,2022-03-21 3:46
0.0714,Unit_112,2022-03-21 6:17
0.05039999999999999,Unit_114,2022-03-21 10:55
0.1848,Unit_796,2022-03-21 11:59
0.042,Unit_116,2022-03-21 14:53
0.0714,Unit_117,2022-03-21 17:05
0.0714,Unit_118,2022-03-21 23:47
0.0966,Unit_119,2022-03-22 7:03
0.10079999999999999,Unit_120,2022-03-22 7:15
0.0924,Unit_802,2022-03-22 8:11
0.0462,Unit_121,2022-03-22 18:35
0.058800000000000005,Unit_122,2022-03-22 17:50
0.0756,Unit_804,2022-03-22 19:03
0.0462,Unit_805,2022-03-22 20:16
0.08819999999999999,Unit_123,2022-03-22 19:55
0.0924,Unit_806,2022-03-23 4:28
0.063,Unit_124,2022-03-22 23:46
0.11760000000000001,Unit_125,2022-03-23 13:56
0.105,Unit_126,2022-03-23 13:49
0.063,Unit_129,2022-03-23 17:55
0.0714,Unit_808,2022-03-23 19:08
0.0924,Unit_809,2022-03-23 20:46
0.0462,Unit_810,2022-03-23 19:37
0.0714,Unit_131,2022-03-23 22:12
0.0756,Unit_132,2022-03-23 22:31
0.0756,Unit_811,2022-03-24 1:57
0.0798,Unit_812,2022-03-23 23:14
0.0462,Unit_133,2022-03-24 4:46
0.058800000000000005,Unit_813,2022-03-24 10:24
0.0966,Unit_134,2022-03-24 7:29
0.063,Unit_814,2022-03-24 7:35
0.063,Unit_815,2022-03-24 13:29
0.0756,Unit_816,2022-03-24 18:30
0.1134,Unit_135,2022-03-24 18:52
0.058800000000000005,Unit_137,2022-03-24 21:37
0.0714,Unit_821,2022-03-25 15:48
0.10079999999999999,Unit_824,2022-03-25 17:50
0.084,Unit_825,2022-03-25 18:34
0.12179999999999999,Unit_826,2022-03-25 19:42
0.126,Unit_827,2022-03-25 19:39
0.11760000000000001,Unit_189,2022-05-12 13:42
0.105,Unit_94,2022-03-16 7:36
0.0756,Unit_785,2022-03-18 9:11
0.058800000000000005,Unit_97,2022-03-18 18:16
0.0336,Unit_98,2022-03-18 16:08
0.063,Unit_787,2022-03-19 0:36
0.0756,Unit_99,2022-03-19 0:31
0.084,Unit_788,2022-03-19 2:44
0.042,Unit_789,2022-03-19 7:14
0.0462,Unit_105,2022-03-19 18:31
0.1092,Unit_792,2022-03-19 18:06
0.12179999999999999,Unit_107,2022-03-20 9:22
0.13019999999999998,Unit_108,2022-03-20 16:28
0.1134,Unit_109,2022-03-20 22:05
0.0462,Unit_113,2022-03-21 12:02
0.05039999999999999,Unit_797,2022-03-21 13:53
0.0756,Unit_115,2022-03-21 23:50
0.147,Unit_798,2022-03-21 23:01
0.0798,Unit_799,2022-03-22 6:42
0.189,Unit_801,2022-03-22 8:58
0.0378,Unit_807,2022-03-23 15:28
0.0546,Unit_127,2022-03-23 17:20
0.05039999999999999,Unit_128,2022-03-23 17:24
0.0546,Unit_141,2022-03-26 18:10
0.10079999999999999,Unit_818,2022-03-27 1:06
0.0756,Unit_831,2022-03-25 20:28
0.0756,Unit_145,2022-03-26 1:16
0.0672,Unit_832,2022-03-26 5:19
0.0672,Unit_833,2022-03-26 1:50
0.0672,Unit_146,2022-03-26 3:51
0.063,Unit_148,2022-03-26 11:18
0.084,Unit_834,2022-03-26 6:53
0.0336,Unit_149,2022-03-26 6:39
0.05039999999999999,Unit_150,2022-03-26 5:46
0.11760000000000001,Unit_835,2022-03-26 7:26
0.0798,Unit_151,2022-03-26 9:29
0.084,Unit_152,2022-03-26 12:56
0.0672,Unit_153,2022-03-26 13:06
0.058800000000000005,Unit_154,2022-03-26 12:06
0.1344,Unit_155,2022-03-26 15:31
0.0756,Unit_156,2022-03-26 14:20
0.08819999999999999,Unit_157,2022-03-26 13:54
0.0672,Unit_837,2022-03-27 2:03
0.0378,Unit_838,2022-03-27 1:50
0.063,Unit_839,2022-03-30 14:42
0.0798,Unit_158,2022-03-30 16:14
0.0546,Unit_841,2022-03-30 22:30
0.0798,Unit_842,2022-03-30 23:31
0.13019999999999998,Unit_843,2022-03-30 23:40
0.058800000000000005,Unit_844,2022-03-31 6:38
0.0798,Unit_845,2022-03-31 2:05
0.05039999999999999,Unit_846,2022-03-31 2:20
0.0672,Unit_165,2022-03-31 5:28
0.0798,Unit_166,2022-03-31 8:38
0.08819999999999999,Unit_167,2022-03-31 3:52
0.05039999999999999,Unit_171,2022-03-31 8:32
0.0966,Unit_172,2022-03-31 7:21
0.0672,Unit_847,2022-03-31 8:19
0.063,Unit_848,2022-03-31 11:21
0.0756,Unit_173,2022-03-31 11:24
0.0798,Unit_175,2022-03-31 11:27
0.1092,Unit_176,2022-03-31 11:30
0.058800000000000005,Unit_849,2022-03-31 11:11
0.0756,Unit_850,2022-03-31 12:52
0.0924,Unit_177,2022-03-31 11:23
0.08819999999999999,Unit_178,2022-03-31 12:13
0.042,Unit_180,2022-03-31 15:06
0.1134,Unit_851,2022-03-31 12:17
0.0672,Unit_852,2022-03-31 13:26
0.0546,Unit_181,2022-03-31 13:09
0.0714,Unit_183,2022-03-31 15:33
0.0924,Unit_853,2022-03-31 14:38
0.10079999999999999,Unit_186,2022-03-31 18:06
0.0714,Unit_194,2022-03-31 21:03
0.0798,Unit_856,2022-03-31 19:44
0.0756,Unit_195,2022-03-31 21:18
0.084,Unit_188,2022-03-31 20:11
0.12179999999999999,Unit_196,2022-04-01 1:51
0.0714,Unit_860,2022-04-01 2:37
0.058800000000000005,Unit_861,2022-04-01 3:21
0.042,Unit_862,2022-04-01 5:32
0.0672,Unit_863,2022-04-01 4:14
0.10079999999999999,Unit_197,2022-04-01 6:11
0.0924,Unit_198,2022-04-01 3:49
0.0714,Unit_199,2022-04-01 6:44
0.0924,Unit_200,2022-04-01 8:27
0.0462,Unit_201,2022-04-01 14:52
0.12179999999999999,Unit_202,2022-04-01 8:29
0.0798,Unit_864,2022-04-01 8:08
0.042,Unit_204,2022-04-01 11:40
0.084,Unit_206,2022-04-01 16:23
0.05039999999999999,Unit_207,2022-04-01 15:57
0.042,Unit_865,2022-04-01 15:10
0.0798,Unit_866,2022-04-01 17:25
0.0756,Unit_867,2022-04-01 18:49
0.058800000000000005,Unit_868,2022-04-01 18:16
0.058800000000000005,Unit_1310,2022-05-03 22:37
0.084,Unit_190,2022-05-01 23:33
0.063,Unit_191,2022-05-02 1:10
0.0546,Unit_35,2022-03-11 2:50
0.0798,Unit_38,2022-03-11 6:51
0.042,Unit_42,2022-03-11 17:46
0.1092,Unit_46,2022-03-12 2:29
0.10079999999999999,Unit_58,2022-03-12 14:21
0.0546,Unit_63,2022-03-12 19:52
0.08819999999999999,Unit_68,2022-03-12 21:47
0.063,Unit_87,2022-03-14 6:35
0.105,Unit_91,2022-03-14 10:34
0.0798,Unit_782,2022-05-02 23:09
0.063,Unit_193,2022-04-26 15:39
0.105,Unit_829,2022-04-26 16:12
