performance_metric_3,unit_serial_number,process_end_date
19.067999999999998,Unit_145,2022-03-26 1:16
18.816,Unit_146,2022-03-26 3:51
18.564,Unit_147,2022-03-26 2:14
18.732,Unit_148,2022-03-26 11:18
19.067999999999998,Unit_149,2022-03-26 6:39
19.235999999999997,Unit_150,2022-03-26 5:46
18.732,Unit_151,2022-03-26 9:29
19.404,Unit_152,2022-03-26 12:56
19.067999999999998,Unit_153,2022-03-26 13:06
18.689999999999998,Unit_154,2022-03-26 12:06
19.152,Unit_155,2022-03-26 15:31
18.564,Unit_156,2022-03-26 14:20
19.067999999999998,Unit_157,2022-03-26 13:54
19.278,Unit_158,2022-03-30 16:14
18.942,Unit_159,2022-03-30 19:45
18.942,Unit_160,2022-03-30 20:22
19.152,Unit_161,2022-03-31 2:14
18.689999999999998,Unit_162,2022-03-31 3:21
18.395999999999997,Unit_163,2022-03-31 4:37
18.312,Unit_164,2022-03-31 10:32
18.984,Unit_165,2022-03-31 5:28
19.278,Unit_166,2022-03-31 8:38
19.11,Unit_167,2022-03-31 3:52
19.152,Unit_168,2022-03-31 7:58
18.816,Unit_169,2022-03-31 6:47
18.732,Unit_170,2022-03-31 8:23
18.942,Unit_171,2022-03-31 8:32
18.984,Unit_172,2022-03-31 7:21
18.857999999999997,Unit_173,2022-03-31 11:24
19.067999999999998,Unit_174,2022-03-31 10:21
19.235999999999997,Unit_175,2022-03-31 11:27
18.984,Unit_176,2022-03-31 11:30
19.278,Unit_177,2022-03-31 11:23
18.48,Unit_178,2022-03-31 12:13
18.605999999999998,Unit_179,2022-03-31 13:01
19.11,Unit_180,2022-03-31 15:06
19.32,Unit_181,2022-03-31 13:09
18.857999999999997,Unit_182,2022-03-31 12:32
19.11,Unit_183,2022-03-31 15:33
19.026,Unit_184,2022-03-31 17:04
18.438,Unit_185,2022-03-31 18:06
18.984,Unit_186,2022-03-31 18:06
18.564,Unit_187,2022-03-31 20:25
19.026,Unit_188,2022-03-31 20:11
19.194,Unit_189,2022-05-12 13:42
18.857999999999997,Unit_190,2022-05-01 23:33
19.152,Unit_191,2022-05-02 1:10
18.774,Unit_192,2022-05-03 6:27
19.235999999999997,Unit_193,2022-04-26 15:39
19.11,Unit_194,2022-03-31 21:03
19.026,Unit_195,2022-03-31 21:18
18.857999999999997,Unit_196,2022-04-01 1:51
18.774,Unit_197,2022-04-01 6:11
18.395999999999997,Unit_198,2022-04-01 3:49
19.362,Unit_199,2022-04-01 6:44
19.32,Unit_200,2022-04-01 8:27
18.689999999999998,Unit_201,2022-04-01 14:52
18.774,Unit_202,2022-04-01 8:29
18.605999999999998,Unit_203,2022-04-01 10:33
18.689999999999998,Unit_204,2022-04-01 11:40
18.774,Unit_205,2022-04-01 14:46
18.984,Unit_206,2022-04-01 16:23
18.605999999999998,Unit_207,2022-04-01 15:57
18.395999999999997,Unit_208,2022-04-01 19:31
19.11,Unit_209,2022-04-01 20:41
19.026,Unit_210,2022-04-02 1:26
18.732,Unit_211,2022-04-02 4:48
19.362,Unit_212,2022-04-02 5:04
19.11,Unit_213,2022-04-02 5:11
19.152,Unit_214,2022-04-02 7:41
19.067999999999998,Unit_215,2022-04-02 15:53
18.984,Unit_216,2022-04-02 14:56
19.235999999999997,Unit_217,2022-04-02 18:37
18.942,Unit_218,2022-04-02 22:10
18.942,Unit_219,2022-04-02 19:28
18.942,Unit_220,2022-04-02 21:40
19.026,Unit_221,2022-04-03 16:30
19.235999999999997,Unit_222,2022-04-03 13:43
18.522,Unit_223,2022-04-04 4:31
19.194,Unit_224,2022-04-04 7:18
18.857999999999997,Unit_225,2022-04-04 8:00
19.194,Unit_226,2022-04-04 7:06
18.984,Unit_227,2022-04-04 7:15
18.857999999999997,Unit_228,2022-04-04 7:44
19.194,Unit_229,2022-04-04 13:54
18.48,Unit_230,2022-04-04 17:31
18.857999999999997,Unit_231,2022-04-05 5:11
18.48,Unit_232,2022-04-06 3:33
19.235999999999997,Unit_233,2022-04-08 17:18
19.194,Unit_234,2022-04-08 17:13
18.605999999999998,Unit_235,2022-04-08 21:48
19.026,Unit_236,2022-04-09 3:41
19.404,Unit_237,2022-04-09 1:09
19.152,Unit_238,2022-04-09 2:42
19.194,Unit_239,2022-04-09 3:03
19.194,Unit_240,2022-04-09 6:44
19.194,Unit_241,2022-04-09 8:29
18.816,Unit_242,2022-04-09 11:32
18.984,Unit_243,2022-04-09 10:21
19.32,Unit_244,2022-04-09 10:58
19.026,Unit_245,2022-04-09 11:57
19.026,Unit_246,2022-04-09 11:00
18.774,Unit_247,2022-04-09 12:29
19.152,Unit_248,2022-04-09 14:46
19.152,Unit_249,2022-04-09 16:05
18.732,Unit_250,2022-04-09 16:05
19.404,Unit_251,2022-04-09 19:35
19.32,Unit_252,2022-04-09 17:01
18.354,Unit_253,2022-04-09 18:21
